"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 10:14:33 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","5","Infectados","TV;Fuentes oficiales del Gobierno;Amigos;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 10:47:32 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Fallecidos","TV;Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","4","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 10:47:53 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:49:50 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Amigos;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","5","3","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:50:04 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 10:50:47 a. m. EET","La Rioja","","","","","","","","","","","","","","","","","","","","","","","UNI DE LA CALLE","5","CUANDO VOY A PODER SALIR A DAR UN PASEO","Twitter;Instagram;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1200","SANCHEZ"
"2020/04/28 10:51:26 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV;Periódicos digitales;Twitter;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:54:43 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Periódicos digitales;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","2","Propagación a través del aire;Propagación por gotas al toser y estornudar;Asfalto","2001","Masculino"
"2020/04/28 10:55:10 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Radio;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","4","Propagación por gotas al toser y estornudar","1974","Masculino"
"2020/04/28 10:56:13 a. m. EET","Andalucía","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Recuperados","Amigos;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:59:52 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Fuentes oficiales del Gobierno;Twitter;Instagram","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 11:00:52 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar;contacto","1969","Femenino"
"2020/04/28 11:04:19 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 11:04:42 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 11:09:41 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Periódicos digitales;Amigos","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","3","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1998","Femenino"
"2020/04/28 11:10:24 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Blogs de periodismo;Twitter;Youtube","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 11:10:24 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 11:11:03 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46005","L'Eixample","","Gran Vía","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","3","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 11:15:24 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Twitter","Personas de la tercera edad","En España hay aproximadamente 80.000 casos activos","2","3","2","Propagación a través del aire","2000","Femenino"
"2020/04/28 11:17:42 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Periódicos digitales;Amigos;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","No lo sé","No lo sé","Propagación a través del aire","2001","Femenino"
"2020/04/28 11:18:52 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46010","El Pla del Real","","","","","","Jaume Roig","","","","","","","","","","","","","","Universitario","1","Infectados","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1980","Femenino"
"2020/04/28 11:19:19 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación por gotas al toser y estornudar","1998","Femenino"
"2020/04/28 11:24:09 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Radio;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar;Contacto mano/mucosas con materiales contaminados","1972","Femenino"
"2020/04/28 11:25:13 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46010","El Pla del Real","","","","","","Exposició","","","","","","","","","","","","","","Universitario","1","Fallecidos","Radio;Amigos;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1986","Femenino"
"2020/04/28 11:25:36 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Relación de datos: infectados / recuperados / fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1968","Masculino"
"2020/04/28 11:25:55 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1974","Femenino"
"2020/04/28 11:28:04 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","Radio;Periódicos digitales;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","5","5","No lo sé","Propagación por gotas al toser y estornudar","1976","Femenino"
"2020/04/28 11:30:12 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Master oficial UV","1","Infectados","TV;Periódicos digitales;Amigos","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","3","1","Propagación por gotas al toser y estornudar","1968","Femenino"
"2020/04/28 11:30:13 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Restricciones","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1974","Masculino"
"2020/04/28 11:31:31 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","","4","Fallecidos","TV;Radio;Periódicos digitales;Otras redes sociales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","No lo sé","5","Propagación por gotas al toser y estornudar","1973","Masculino"
"2020/04/28 11:32:53 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","FP2 grado superior","","FP2 grado superior","TV","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","1","1","3","Propagación por gotas al toser y estornudar","1973","Femenino"
"2020/04/28 11:34:38 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","1964","Femenino"
